instance,approach,exp_i,time,objective
k4xb20,qGOMEA - RT - 10x FI - OX,1,Inf,20.0
k5xb3,qGOMEA - RT - 10x FI - OX,1,0.2950000762939453,3.0
k5xb4,qGOMEA - RT - 10x FI - OX,1,0.9709999561309814,4.0
k5xb5,qGOMEA - RT - 10x FI - OX,1,3.013000011444092,5.0
k5xb10,qGOMEA - RT - 10x FI - OX,1,Inf,10.0
k6xb3,qGOMEA - RT - 10x FI - OX,1,Inf,3.0
k4xb3,Random Key SimpleGA,1,0.0989999771118164,3.0
k4xb4,Random Key SimpleGA,1,0.00800013542175293,4.0
k4xb5,Random Key SimpleGA,1,0.007999897003173828,5.0
k4xb10,Random Key SimpleGA,1,0.08299994468688965,10.0
k4xb20,Random Key SimpleGA,1,Inf,20.0
k5xb3,Random Key SimpleGA,1,0.03900003433227539,3.0
k5xb4,Random Key SimpleGA,1,0.0989999771118164,4.0
k5xb5,Random Key SimpleGA,1,0.7619998455047607,5.0
k5xb10,Random Key SimpleGA,1,Inf,10.0
k6xb3,Random Key SimpleGA,1,1.4639999866485596,3.0
k6xb4,Random Key SimpleGA,1,3.2809998989105225,4.0
k6xb5,Random Key SimpleGA,1,Inf,5.0
k7xb3,Random Key SimpleGA,1,Inf,3.0
k4xb3,Integer Permutation SimpleGA - PMX,1,0.1230001449584961,3.0
k4xb4,Integer Permutation SimpleGA - PMX,1,0.007999897003173828,4.0
k4xb5,Integer Permutation SimpleGA - PMX,1,0.013000011444091797,5.0
k4xb10,Integer Permutation SimpleGA - PMX,1,0.7079999446868896,10.0
k4xb20,Integer Permutation SimpleGA - PMX,1,Inf,20.0
k5xb3,Integer Permutation SimpleGA - PMX,1,0.06200003623962402,3.0
k5xb4,Integer Permutation SimpleGA - PMX,1,0.7149999141693115,4.0
k5xb5,Integer Permutation SimpleGA - PMX,1,0.20099997520446777,5.0
k5xb10,Integer Permutation SimpleGA - PMX,1,Inf,10.0
k6xb3,Integer Permutation SimpleGA - PMX,1,0.20000004768371582,3.0
k6xb4,Integer Permutation SimpleGA - PMX,1,Inf,4.0
k7xb3,Integer Permutation SimpleGA - PMX,1,Inf,3.0
k4xb3,Integer Permutation SimpleGA - OX,1,0.09299993515014648,3.0
k4xb4,Integer Permutation SimpleGA - OX,1,0.003999948501586914,4.0
k4xb5,Integer Permutation SimpleGA - OX,1,0.009999990463256836,5.0
k4xb10,Integer Permutation SimpleGA - OX,1,0.5829999446868896,10.0
k4xb20,Integer Permutation SimpleGA - OX,1,Inf,20.0
k5xb3,Integer Permutation SimpleGA - OX,1,0.01900005340576172,3.0
k5xb4,Integer Permutation SimpleGA - OX,1,0.14499998092651367,4.0
k5xb5,Integer Permutation SimpleGA - OX,1,0.30299997329711914,5.0
k5xb10,Integer Permutation SimpleGA - OX,1,Inf,10.0
k6xb3,Integer Permutation SimpleGA - OX,1,0.39800000190734863,3.0
k6xb4,Integer Permutation SimpleGA - OX,1,2.116000175476074,4.0
k6xb5,Integer Permutation SimpleGA - OX,1,3.671999931335449,5.0
k6xb10,Integer Permutation SimpleGA - OX,1,Inf,10.0
k7xb3,Integer Permutation SimpleGA - OX,1,Inf,3.0
k4xb3,Integer Permutation SimpleGA - CX,1,0.08000016212463379,3.0
k4xb4,Integer Permutation SimpleGA - CX,1,0.017999887466430664,4.0
k4xb5,Integer Permutation SimpleGA - CX,1,0.02200007438659668,5.0
k4xb10,Integer Permutation SimpleGA - CX,1,0.2950000762939453,10.0
k4xb20,Integer Permutation SimpleGA - CX,1,Inf,20.0
k5xb3,Integer Permutation SimpleGA - CX,1,0.09400010108947754,3.0
k5xb4,Integer Permutation SimpleGA - CX,1,0.7460000514984131,4.0
k5xb5,Integer Permutation SimpleGA - CX,1,1.184000015258789,5.0
k5xb10,Integer Permutation SimpleGA - CX,1,Inf,10.0
k6xb3,Integer Permutation SimpleGA - CX,1,2.133000135421753,3.0
k6xb4,Integer Permutation SimpleGA - CX,1,Inf,4.0
k7xb3,Integer Permutation SimpleGA - CX,1,Inf,3.0
k4xb3,Integer Permutation SimpleGA - ER,1,0.09800004959106445,3.0
k4xb4,Integer Permutation SimpleGA - ER,1,0.9300000667572021,4.0
k4xb5,Integer Permutation SimpleGA - ER,1,Inf,5.0
k5xb3,Integer Permutation SimpleGA - ER,1,0.5920000076293945,3.0
k5xb4,Integer Permutation SimpleGA - ER,1,Inf,4.0
k6xb3,Integer Permutation SimpleGA - ER,1,Inf,3.0
